Run;File;n_obs;load_ms;exec_ms
1;NEABT_input_100.pl;100;5;2
1;NEABT_input_500.pl;500;25;6
1;NEABT_input_1000.pl;1000;51;14
1;NEABT_input_2000.pl;2000;97;29
1;NEABT_input_5000.pl;5000;251;68
1;NEABT_input_10000.pl;10000;500;137
2;NEABT_input_100.pl;100;4;1
2;NEABT_input_500.pl;500;21;7
2;NEABT_input_1000.pl;1000;45;12
2;NEABT_input_2000.pl;2000;86;28
2;NEABT_input_5000.pl;5000;233;68
2;NEABT_input_10000.pl;10000;475;137
3;NEABT_input_100.pl;100;4;1
3;NEABT_input_500.pl;500;21;7
3;NEABT_input_1000.pl;1000;42;14
3;NEABT_input_2000.pl;2000;87;27
3;NEABT_input_5000.pl;5000;212;67
3;NEABT_input_10000.pl;10000;449;137
4;NEABT_input_100.pl;100;4;1
4;NEABT_input_500.pl;500;21;6
4;NEABT_input_1000.pl;1000;42;14
4;NEABT_input_2000.pl;2000;90;27
4;NEABT_input_5000.pl;5000;216;89
4;NEABT_input_10000.pl;10000;470;145
5;NEABT_input_100.pl;100;4;1
5;NEABT_input_500.pl;500;23;6
5;NEABT_input_1000.pl;1000;46;14
5;NEABT_input_2000.pl;2000;90;29
5;NEABT_input_5000.pl;5000;231;70
5;NEABT_input_10000.pl;10000;506;139
6;NEABT_input_100.pl;100;4;1
6;NEABT_input_500.pl;500;22;6
6;NEABT_input_1000.pl;1000;45;14
6;NEABT_input_2000.pl;2000;92;29
6;NEABT_input_5000.pl;5000;230;69
6;NEABT_input_10000.pl;10000;480;137
7;NEABT_input_100.pl;100;6;2
7;NEABT_input_500.pl;500;29;12
7;NEABT_input_1000.pl;1000;79;16
7;NEABT_input_2000.pl;2000;99;28
7;NEABT_input_5000.pl;5000;214;71
7;NEABT_input_10000.pl;10000;456;152
8;NEABT_input_100.pl;100;5;1
8;NEABT_input_500.pl;500;23;8
8;NEABT_input_1000.pl;1000;43;13
8;NEABT_input_2000.pl;2000;84;30
8;NEABT_input_5000.pl;5000;212;69
8;NEABT_input_10000.pl;10000;458;137
9;NEABT_input_100.pl;100;4;1
9;NEABT_input_500.pl;500;21;7
9;NEABT_input_1000.pl;1000;42;14
9;NEABT_input_2000.pl;2000;129;28
9;NEABT_input_5000.pl;5000;214;70
9;NEABT_input_10000.pl;10000;446;139
10;NEABT_input_100.pl;100;4;1
10;NEABT_input_500.pl;500;21;7
10;NEABT_input_1000.pl;1000;42;14
10;NEABT_input_2000.pl;2000;87;30
10;NEABT_input_5000.pl;5000;216;69
10;NEABT_input_10000.pl;10000;462;135
11;NEABT_input_100.pl;100;4;1
11;NEABT_input_500.pl;500;21;6
11;NEABT_input_1000.pl;1000;43;14
11;NEABT_input_2000.pl;2000;84;31
11;NEABT_input_5000.pl;5000;219;70
11;NEABT_input_10000.pl;10000;449;135
12;NEABT_input_100.pl;100;4;1
12;NEABT_input_500.pl;500;21;6
12;NEABT_input_1000.pl;1000;46;24
12;NEABT_input_2000.pl;2000;98;28
12;NEABT_input_5000.pl;5000;216;70
12;NEABT_input_10000.pl;10000;467;143
13;NEABT_input_100.pl;100;4;2
13;NEABT_input_500.pl;500;21;7
13;NEABT_input_1000.pl;1000;46;16
13;NEABT_input_2000.pl;2000;87;29
13;NEABT_input_5000.pl;5000;222;67
13;NEABT_input_10000.pl;10000;482;142
14;NEABT_input_100.pl;100;4;1
14;NEABT_input_500.pl;500;22;6
14;NEABT_input_1000.pl;1000;47;15
14;NEABT_input_2000.pl;2000;91;29
14;NEABT_input_5000.pl;5000;207;71
14;NEABT_input_10000.pl;10000;502;143
15;NEABT_input_100.pl;100;4;1
15;NEABT_input_500.pl;500;20;7
15;NEABT_input_1000.pl;1000;41;15
15;NEABT_input_2000.pl;2000;84;27
15;NEABT_input_5000.pl;5000;252;71
15;NEABT_input_10000.pl;10000;467;146
16;NEABT_input_100.pl;100;5;1
16;NEABT_input_500.pl;500;23;8
16;NEABT_input_1000.pl;1000;46;15
16;NEABT_input_2000.pl;2000;89;27
16;NEABT_input_5000.pl;5000;221;66
16;NEABT_input_10000.pl;10000;467;140
17;NEABT_input_100.pl;100;4;1
17;NEABT_input_500.pl;500;23;7
17;NEABT_input_1000.pl;1000;42;13
17;NEABT_input_2000.pl;2000;88;34
17;NEABT_input_5000.pl;5000;218;80
17;NEABT_input_10000.pl;10000;455;137
18;NEABT_input_100.pl;100;4;1
